Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Avg_rating,Overall Sentiment
654,3,4.56,3.22,2.78,4.56,5,2.78,2.78,2.33,3.50125,Negative
655,667,4.56,4.56,3.22,1.44,1,1.89,5,1.44,2.88875,Neutral
656,234,3.67,1.44,2.33,2.78,1,4.11,3.67,1.44,2.555,Neutral
657,96,3.22,3.22,2.78,5,4.11,5,2.78,1.44,3.44375,Negative
658,691,3.67,3.67,4.11,4.11,2.78,2.33,4.11,1.44,3.2775,Negative
659,269,4.56,5,3.22,5,5,1,4.56,5,4.1675,Positive
660,566,4.11,5,3.22,5,3.67,3.22,3.22,1,3.555,Negative
661,985,2.78,2.78,2.33,4.11,3.67,3.22,3.67,1.89,3.05625,Negative
662,437,3.67,1.44,3.22,3.67,2.78,4.11,1,4.11,3,Negative
663,200,4.11,2.33,4.11,3.22,4.11,2.33,3.67,1,3.11,Negative
664,291,5,1.89,3.67,4.11,1.44,5,1.89,1.89,3.11125,Negative
665,612,4.11,4.56,4.11,3.67,1,1.44,4.11,2.33,3.16625,Negative
666,448,3.22,3.67,3.67,4.56,1.44,4.56,1.44,2.78,3.1675,Negative
667,439,3.22,4.11,3.67,3.67,3.67,2.33,2.78,2.33,3.2225,Negative
668,573,2.78,2.78,2.78,4.11,4.11,4.56,4.11,1.44,3.33375,Negative
669,7,2.78,4.11,2.78,3.22,1.44,5,2.33,4.11,3.22125,Negative
670,725,2.78,5,4.11,2.33,1.89,2.78,1,3.22,2.88875,Neutral
671,50,4.56,4.11,3.22,3.67,1,3.22,3.67,2.33,3.2225,Negative
672,423,3.67,4.56,2.78,5,5,3.67,3.67,1.89,3.78,Negative
673,140,3.67,5,3.22,4.11,3.22,5,4.56,3.22,4,Negative
674,135,4.11,4.56,3.67,1.89,3.22,5,1.44,4.56,3.55625,Negative
675,786,2.78,2.33,3.67,2.78,2.78,3.22,3.67,1,2.77875,Neutral
676,601,4.11,4.56,2.33,2.78,2.33,1.89,1,5,3,Negative
677,493,4.56,2.33,2.33,4.56,2.33,1.89,3.22,3.67,3.11125,Negative
678,553,3.67,1.44,2.33,3.67,1.89,2.78,1,1.89,2.33375,Neutral
679,27,3.67,1.89,2.78,2.78,2.78,1,4.11,3.22,2.77875,Neutral
680,257,4.11,2.78,3.22,2.33,2.33,1,2.78,2.33,2.61,Neutral
681,225,5,2.33,2.78,4.56,1.89,3.22,4.56,2.33,3.33375,Negative
682,788,3.22,2.78,3.22,1.89,5,2.33,1.89,4.11,3.055,Negative
683,37,4.11,4.56,2.78,1.89,2.33,1.89,2.78,1.44,2.7225,Neutral
684,170,2.78,5,3.67,1.44,4.11,2.78,4.56,2.78,3.39,Negative
685,528,4.56,1.44,2.78,1.44,3.22,2.78,1,3.22,2.555,Neutral
686,600,3.67,4.11,3.22,5,3.22,3.67,3.67,3.22,3.7225,Negative
687,655,3.67,4.11,2.78,2.33,1,3.22,3.22,4.11,3.055,Negative
688,74,4.11,4.11,3.22,1,1.44,2.78,1.44,3.22,2.665,Neutral
689,505,4.56,3.22,4.11,2.78,4.11,2.33,3.67,3.22,3.5,Negative
690,377,2.78,2.78,3.67,1.89,4.56,3.22,1,2.33,2.77875,Neutral
691,808,4.11,3.22,2.33,2.78,1,4.11,4.11,1.89,2.94375,Neutral
692,366,4.56,4.56,4.11,1.44,1,5,2.78,1.44,3.11125,Negative
693,238,4.11,3.67,2.78,5,5,4.56,3.67,5,4.22375,Positive
694,255,4.56,5,3.67,5,1.89,1.44,3.67,4.11,3.6675,Negative
695,123,5,1.44,2.33,2.78,4.56,4.11,1.89,2.78,3.11125,Negative
696,663,3.22,1.44,4.11,1.44,2.78,3.67,2.78,3.67,2.88875,Neutral
697,876,3.22,3.67,2.33,2.33,4.56,1.44,2.78,4.56,3.11125,Negative
698,690,2.78,5,4.11,2.33,1.44,3.67,4.56,3.22,3.38875,Negative
699,309,2.78,4.11,2.33,4.56,1.44,1,2.33,2.78,2.66625,Neutral
700,693,3.67,4.56,4.11,1,2.78,5,1.89,3.67,3.335,Negative
701,226,3.67,3.22,4.11,4.11,4.11,2.78,4.11,4.11,3.7775,Negative
702,951,5,5,3.67,5,2.78,4.56,3.67,1,3.835,Negative
703,260,4.56,1.89,3.67,2.33,3.67,1.44,4.11,1.89,2.945,Neutral
704,243,4.56,4.11,4.11,4.11,2.33,5,4.11,4.56,4.11125,Positive
705,222,2.78,2.33,2.33,1.44,3.67,4.56,2.78,1.89,2.7225,Neutral
706,314,2.78,5,3.22,4.11,3.22,3.22,5,2.33,3.61,Negative
707,229,3.67,3.22,4.11,1.44,1.44,5,4.11,4.11,3.3875,Negative
708,85,2.78,3.22,4.11,4.56,1.89,2.33,2.33,2.33,2.94375,Neutral
709,76,4.11,4.56,4.11,3.22,1.89,5,3.67,1.44,3.5,Negative
710,887,3.22,4.56,2.78,4.11,4.56,3.67,3.22,1.44,3.445,Negative
711,582,4.11,2.33,3.67,4.11,1,2.78,4.56,1.89,3.05625,Negative
712,674,4.11,2.78,3.22,4.11,3.67,5,1.44,3.67,3.5,Negative
713,986,3.67,1.44,3.22,1.44,2.33,3.67,5,3.67,3.055,Negative
714,511,4.11,2.33,2.33,2.78,1.44,5,5,3.22,3.27625,Negative
715,879,3.22,5,2.78,5,4.56,2.78,2.78,2.33,3.55625,Negative
716,401,4.11,5,3.67,1.44,4.11,5,4.11,4.56,4,Negative
717,514,3.22,3.22,3.67,5,3.67,3.67,3.22,1.89,3.445,Negative
718,750,5,1.89,4.11,1,2.78,1,1.89,2.78,2.55625,Neutral
719,156,3.67,2.33,3.67,4.56,5,4.11,2.78,4.11,3.77875,Negative
720,775,2.78,3.22,3.67,1.44,2.78,2.33,1,2.33,2.44375,Neutral
721,329,4.56,4.11,4.11,2.78,1.89,1.89,5,4.11,3.55625,Negative
722,467,4.11,5,2.78,3.67,3.67,1,1.89,3.22,3.1675,Negative
723,178,3.67,3.67,2.33,3.67,1,1.44,1,1.44,2.2775,Neutral
724,549,2.78,1.89,3.67,3.22,4.11,4.11,2.78,2.78,3.1675,Negative
725,453,4.11,2.33,2.33,2.33,1.44,4.11,1,2.33,2.4975,Neutral
726,307,3.22,4.56,2.78,1,3.22,2.78,1.89,2.78,2.77875,Neutral
727,472,3.22,4.11,3.67,3.67,4.56,4.56,1.44,1.89,3.39,Negative
728,392,3.67,3.67,2.33,4.56,3.67,5,4.11,2.33,3.6675,Negative
729,65,3.22,2.33,2.33,3.22,1.89,5,4.11,1.89,2.99875,Neutral
730,575,4.56,2.33,3.67,3.67,1,1,2.78,1,2.50125,Neutral
731,855,4.11,1.89,3.22,2.33,1,1,4.56,3.67,2.7225,Neutral
732,791,2.78,4.56,2.33,2.33,1,2.33,5,4.56,3.11125,Negative
733,391,2.78,1.89,3.67,3.22,3.67,3.22,4.56,2.33,3.1675,Negative
734,973,3.22,1.89,2.33,3.22,2.33,3.22,3.22,4.56,2.99875,Neutral
735,828,4.11,1.89,2.78,1.44,4.56,2.78,3.22,1.89,2.83375,Neutral
736,247,3.22,4.56,3.22,2.78,1.44,1.44,1.89,3.67,2.7775,Neutral
737,412,4.56,1.44,2.78,4.11,3.67,1.44,5,2.33,3.16625,Negative
738,67,3.67,4.56,2.33,1.89,4.56,1,1,1.44,2.55625,Neutral
739,289,2.78,1.44,2.78,4.11,4.56,1.44,3.67,1.44,2.7775,Neutral
740,399,5,3.22,2.33,4.11,3.22,2.78,5,2.33,3.49875,Negative
741,138,4.11,2.78,4.11,4.11,5,2.33,1.44,3.22,3.3875,Negative
742,537,5,3.22,2.33,4.56,4.56,2.78,3.67,2.78,3.6125,Negative
743,265,2.78,4.56,3.67,3.22,2.78,3.22,2.78,1.89,3.1125,Negative
744,724,2.78,1.44,3.22,1,3.67,1.89,1.89,1,2.11125,Neutral
745,653,2.78,3.22,2.78,3.22,3.22,1.89,4.56,1.44,2.88875,Neutral
746,318,3.22,4.11,2.78,5,3.22,3.67,5,4.11,3.88875,Negative
747,232,3.22,4.11,2.78,2.78,1,1,3.67,4.11,2.83375,Neutral
748,21,4.56,3.67,2.78,1.89,3.22,3.22,1,3.22,2.945,Neutral
749,998,4.56,3.67,2.78,1,1.44,1.44,1,5,2.61125,Neutral
750,694,4.56,4.11,4.11,5,3.67,3.67,3.67,1.44,3.77875,Negative
751,927,3.22,1.44,3.22,1.44,5,1.89,3.22,2.33,2.72,Neutral
752,348,3.67,4.56,2.78,3.22,2.78,2.78,4.11,3.22,3.39,Negative
753,968,3.22,3.67,3.22,1.89,4.11,1,4.56,1.89,2.945,Neutral
754,992,5,3.22,2.33,1.89,4.11,3.22,5,1.89,3.3325,Negative
755,764,4.56,1.89,3.67,3.22,1.89,4.11,5,1.44,3.2225,Negative
756,587,2.78,2.33,4.11,1.44,1.44,1.44,2.33,5,2.60875,Neutral
757,944,5,4.11,3.22,4.11,4.11,3.67,4.56,3.22,4,Negative
758,239,2.78,5,2.33,1.89,1.44,3.67,2.33,2.33,2.72125,Neutral
759,886,3.67,3.67,2.78,2.78,5,1,4.56,4.56,3.5025,Negative
760,23,4.56,3.67,2.33,1.44,1,1.44,4.56,1.89,2.61125,Neutral
761,458,3.22,1.44,2.33,3.22,3.22,5,2.33,1,2.72,Neutral
762,822,3.22,1.44,3.67,1,2.78,2.33,1,5,2.555,Neutral
763,413,3.67,5,2.33,1.44,1.89,1,5,1,2.66625,Neutral
764,563,3.67,2.33,4.11,4.11,3.67,1.89,1.89,5,3.33375,Negative
765,331,4.11,4.11,3.67,2.78,5,2.33,3.67,2.78,3.55625,Negative
766,434,3.67,3.67,3.67,3.22,1,4.11,4.56,3.22,3.39,Negative
767,456,5,2.33,4.11,3.22,2.78,1,5,1,3.055,Negative
768,430,4.56,3.22,2.33,4.56,4.11,3.22,2.33,1.89,3.2775,Negative
769,896,3.22,4.11,3.67,2.78,2.33,2.33,2.78,2.78,3,Negative
770,451,4.56,1.89,3.22,5,3.67,4.11,4.56,5,4.00125,Positive
771,477,2.78,1.44,2.78,3.22,5,3.22,5,4.11,3.44375,Negative
772,9,3.67,2.78,2.33,2.78,1,1.89,2.78,3.22,2.55625,Neutral
773,325,3.67,2.78,3.67,3.22,1,2.78,4.11,3.22,3.05625,Negative
774,812,4.56,2.78,2.33,2.33,1.44,2.33,1.44,3.22,2.55375,Neutral
775,727,3.67,1.44,3.22,2.33,1.44,5,4.56,2.78,3.055,Negative
776,928,3.22,3.67,3.22,4.56,2.33,4.11,2.78,4.11,3.5,Negative
777,134,4.56,4.56,3.67,2.33,3.67,5,4.11,1.89,3.72375,Negative
778,819,3.22,3.67,4.11,4.11,4.56,5,1.44,1.44,3.44375,Negative
779,230,3.67,1.44,4.11,1.44,3.22,1,4.56,1.44,2.61,Neutral
780,520,4.56,1.89,2.78,3.22,3.67,5,5,1.89,3.50125,Negative
781,326,3.67,5,4.11,4.11,3.22,2.33,4.56,3.67,3.83375,Negative
782,142,3.22,4.11,2.33,5,4.11,2.78,4.11,3.22,3.61,Negative
783,491,2.78,2.33,4.11,3.22,1,1.89,2.33,2.33,2.49875,Neutral
784,379,3.67,2.78,3.22,1.44,4.56,3.67,1.89,5,3.27875,Negative
785,465,2.78,1.44,4.11,4.11,3.22,4.11,1.44,2.33,2.9425,Neutral
786,756,3.22,3.67,3.67,1.89,1.44,3.22,4.56,3.67,3.1675,Negative
787,347,3.22,4.11,3.67,1.89,2.78,1,1.44,4.11,2.7775,Neutral
788,237,5,2.33,2.78,4.11,3.67,4.11,1.44,4.11,3.44375,Negative
789,642,2.78,3.67,3.22,4.11,4.56,3.22,3.22,3.67,3.55625,Negative
790,506,4.56,3.67,2.33,1,2.78,3.67,2.78,1,2.72375,Neutral
791,646,3.67,4.11,2.78,2.33,3.67,4.11,4.11,4.11,3.61125,Negative
792,382,5,5,3.67,2.78,1.44,1.89,3.22,1.89,3.11125,Negative
793,256,3.22,3.67,2.33,2.78,4.56,4.11,3.22,2.78,3.33375,Negative
794,327,4.11,4.11,2.78,5,1.44,1,5,2.78,3.2775,Negative
795,624,3.67,1.89,3.67,5,1.44,1,4.11,4.11,3.11125,Negative
796,155,4.11,4.11,4.11,5,1.89,4.56,3.67,1.89,3.6675,Negative
797,578,4.11,5,3.67,2.33,2.78,4.11,3.67,3.22,3.61125,Negative
798,640,5,4.56,2.33,5,1.44,2.33,1.89,1,2.94375,Neutral
799,997,4.56,4.11,4.11,3.22,4.11,1.89,1.89,5,3.61125,Negative
800,242,3.67,4.56,2.78,2.33,2.78,4.56,1,2.33,3.00125,Negative
801,344,3.67,3.22,4.11,4.56,4.11,1.89,4.11,2.78,3.55625,Negative
802,699,4.56,2.78,2.33,4.11,2.33,1.44,1.44,4.11,2.8875,Neutral
803,77,4.56,2.33,2.78,4.56,1.44,1,2.78,5,3.05625,Negative
804,821,4.11,4.56,2.78,2.78,4.11,4.56,2.33,4.56,3.72375,Negative
805,903,4.56,4.11,4.11,4.11,2.33,4.11,2.33,1,3.3325,Negative
806,540,4.56,5,3.67,1.89,1.44,2.33,2.33,2.78,3,Negative
807,596,2.78,4.11,3.67,3.67,1,1.44,5,1.89,2.945,Neutral
808,169,4.11,1.44,3.22,1.89,1.89,3.22,4.56,1.89,2.7775,Neutral
809,526,4.56,2.78,2.78,2.78,1.44,3.22,2.33,4.56,3.05625,Negative
810,361,3.67,1.44,3.22,2.33,2.78,3.67,4.11,1.89,2.88875,Neutral
811,917,4.11,3.22,2.78,1.89,3.67,2.78,2.33,4.11,3.11125,Negative
812,342,2.78,4.56,4.11,1,4.56,4.11,3.67,5,3.72375,Negative
813,599,2.78,1.44,2.33,4.11,2.33,4.11,4.56,2.78,3.055,Negative
814,875,2.78,2.33,3.67,1.89,2.78,3.22,2.33,2.78,2.7225,Neutral
815,745,2.78,4.56,2.78,5,4.11,1.44,4.56,1,3.27875,Negative
816,131,4.56,2.33,4.11,1.44,3.67,2.78,1.44,5,3.16625,Negative
817,143,3.22,3.22,3.67,4.11,5,1.89,1.89,4.56,3.445,Negative
818,666,5,2.78,3.22,4.11,1,1.44,3.67,3.67,3.11125,Negative
819,104,4.11,2.78,2.33,1.44,3.67,4.56,2.33,2.33,2.94375,Neutral
820,964,4.11,2.78,2.78,1.89,5,2.78,2.78,1.89,3.00125,Negative
821,208,4.11,3.67,2.78,3.67,1.44,1.89,1.44,4.11,2.88875,Neutral
822,774,3.67,5,2.78,2.33,3.22,5,4.56,3.22,3.7225,Negative
823,346,5,3.67,2.33,4.56,1.89,1.44,5,4.11,3.5,Negative
824,97,3.67,4.11,3.67,4.56,3.22,1.89,5,3.67,3.72375,Negative
825,306,4.56,5,2.33,1,1.89,1.89,1.44,2.78,2.61125,Neutral
826,18,4.56,3.22,3.22,1,2.78,4.11,2.33,5,3.2775,Negative
827,284,2.78,3.67,3.22,1.89,5,1.89,4.11,3.22,3.2225,Negative
828,173,2.78,3.67,2.78,5,5,5,1.89,5,3.89,Negative
829,558,3.67,4.56,2.78,2.78,4.56,3.67,1.89,2.78,3.33625,Negative
830,51,3.67,1.44,3.22,1.44,4.11,1.44,5,1.44,2.72,Neutral
831,357,2.78,4.11,3.67,2.78,2.33,1,4.11,4.11,3.11125,Negative
832,692,4.11,4.11,3.22,4.56,2.78,4.11,3.67,5,3.945,Negative
833,26,4.11,1.44,3.22,5,4.56,4.56,2.33,2.78,3.5,Negative
834,386,4.56,2.78,2.78,2.33,3.22,2.78,3.67,3.67,3.22375,Negative
835,287,2.78,4.56,2.78,2.78,5,4.11,2.33,5,3.6675,Negative
836,974,4.11,5,2.33,1.44,2.33,4.56,4.11,3.67,3.44375,Negative
837,683,3.22,4.56,2.33,4.11,2.78,2.78,1,5,3.2225,Negative
838,374,3.22,4.56,2.33,3.22,1.44,3.22,3.67,4.11,3.22125,Negative
839,278,5,4.11,3.67,4.11,3.22,3.67,4.11,1,3.61125,Negative
840,367,5,2.33,4.11,1.89,1.89,4.56,2.78,3.67,3.27875,Negative
841,800,3.67,2.33,2.78,1.44,1,3.22,1.89,4.56,2.61125,Neutral
842,11,4.56,2.78,3.22,4.11,2.78,3.22,3.67,3.67,3.50125,Negative
843,310,2.78,4.11,2.78,4.56,2.33,2.33,4.56,5,3.55625,Negative
844,910,2.78,4.11,3.67,5,4.11,1.44,2.33,4.11,3.44375,Negative
845,440,2.78,3.67,4.11,4.56,3.67,1,4.11,5,3.6125,Negative
846,441,3.67,4.11,2.78,1.89,1,4.11,3.22,4.11,3.11125,Negative
847,146,4.11,3.67,2.78,3.22,4.56,1.44,4.56,5,3.6675,Negative
848,614,4.11,1.44,3.22,3.67,4.11,3.22,3.22,2.78,3.22125,Negative
849,262,5,2.78,2.33,4.56,3.22,4.56,4.56,1.89,3.6125,Negative
850,34,4.56,3.67,4.11,4.56,4.11,1.44,4.11,4.56,3.89,Negative
851,407,4.56,4.11,4.11,3.22,1.44,4.56,3.22,2.33,3.44375,Negative
852,564,2.78,5,2.78,3.22,4.11,2.78,1.89,1,2.945,Neutral
853,538,4.11,3.67,2.33,3.22,5,2.78,1.44,4.56,3.38875,Negative
854,748,2.78,4.11,3.22,1,5,1.44,2.33,4.56,3.055,Negative
855,675,4.11,3.67,4.11,4.56,4.11,3.22,1.44,4.11,3.66625,Negative
856,224,5,3.67,3.67,3.22,1.44,1,3.67,4.56,3.27875,Negative
857,10,4.11,1.89,3.67,2.33,1.89,3.22,2.33,1,2.555,Neutral
858,708,2.78,1.89,2.78,2.33,2.78,4.56,3.22,2.33,2.83375,Neutral
859,636,3.67,1.89,3.22,4.56,2.78,2.33,3.22,1.89,2.945,Neutral
860,218,3.67,4.11,2.33,2.33,1,2.33,3.22,2.33,2.665,Neutral
861,193,2.78,4.56,2.33,3.22,2.78,3.67,1,4.56,3.1125,Negative
862,106,3.22,3.22,2.78,4.11,1.89,1,4.56,3.67,3.05625,Negative
863,834,4.11,1.44,3.67,2.33,1,4.11,4.56,1.44,2.8325,Neutral
864,597,2.78,2.33,4.11,2.33,4.11,3.67,1.89,2.33,2.94375,Neutral
865,45,4.11,2.78,3.22,1,2.78,4.56,1.44,4.56,3.05625,Negative
866,264,2.78,1.44,2.33,2.33,3.67,3.22,2.33,1,2.3875,Neutral
867,219,5,2.33,2.78,3.67,4.56,5,4.11,1.89,3.6675,Negative
868,249,5,1.44,2.78,3.22,4.11,1,4.11,4.56,3.2775,Negative
869,507,4.56,1.44,3.22,1.44,3.67,4.56,3.67,4.56,3.39,Negative
870,383,5,5,4.11,5,2.33,4.56,1.89,5,4.11125,Positive
871,631,5,4.11,2.78,1.89,4.56,4.56,4.11,1.89,3.6125,Negative
872,502,3.22,1.89,2.78,1,4.11,2.33,3.67,4.11,2.88875,Neutral
873,792,5,1.44,3.22,3.67,3.67,2.78,3.22,4.56,3.445,Negative
874,271,4.11,5,3.22,2.78,3.67,5,5,1.44,3.7775,Negative
875,194,3.22,1.89,2.78,2.33,1,5,4.11,1.89,2.7775,Neutral
876,937,4.11,4.11,2.33,5,1,2.78,4.56,1.89,3.2225,Negative
877,726,3.22,2.33,2.33,3.67,3.67,1.89,3.22,2.33,2.8325,Neutral
878,339,3.22,5,2.78,4.56,2.33,1.89,3.22,2.78,3.2225,Negative
879,841,4.11,4.56,4.11,1.89,2.33,2.33,3.67,1,3,Negative
880,874,4.56,3.67,3.22,4.56,3.22,1,3.22,1.89,3.1675,Negative
881,214,3.22,3.22,2.33,1.89,1,1.89,2.33,3.22,2.3875,Neutral
882,924,4.56,5,2.78,2.78,3.22,2.33,1,4.11,3.2225,Negative
883,203,4.11,3.67,4.11,4.56,2.33,5,4.11,5,4.11125,Positive
884,629,4.11,1.89,3.67,2.33,2.33,4.11,1,5,3.055,Negative
885,354,3.22,1.89,3.67,5,1,1,5,3.22,3,Negative
886,857,4.56,4.11,3.22,2.78,3.67,4.11,1,4.56,3.50125,Negative
887,424,2.78,1.89,3.67,1.89,4.11,3.22,2.78,3.67,3.00125,Negative
888,872,3.22,5,4.11,4.11,1.44,1.44,1,2.33,2.83125,Neutral
889,116,4.11,2.78,3.22,1.89,2.78,1.89,1,4.56,2.77875,Neutral
890,308,4.56,5,3.67,5,1.89,1.44,5,4.56,3.89,Negative
891,698,2.78,4.56,3.22,1.89,3.22,4.56,4.56,4.56,3.66875,Negative
892,622,4.56,5,3.67,3.67,3.22,1.44,4.11,2.33,3.5,Negative
893,103,4.56,3.22,2.33,3.22,1,1.89,5,3.22,3.055,Negative
894,464,2.78,2.33,4.11,3.22,2.33,5,1,3.22,2.99875,Neutral
895,870,5,2.33,3.22,1.89,4.11,1.44,1.89,3.67,2.94375,Neutral
896,351,4.11,2.78,4.11,5,1,4.56,3.67,3.67,3.6125,Negative
897,628,5,5,2.33,3.67,1,3.67,1.89,4.56,3.39,Negative
898,33,4.11,2.78,3.22,1,4.11,3.67,3.67,1.44,3,Negative
899,972,3.67,4.56,2.33,1,1,1.44,1,5,2.5,Neutral
900,535,2.78,5,2.78,4.56,4.56,4.11,1,4.56,3.66875,Negative
901,959,4.11,2.33,2.78,2.78,5,3.67,1.89,1.44,3,Negative
902,794,5,2.33,2.33,4.11,3.22,4.11,3.22,4.56,3.61,Negative
903,313,2.78,3.67,3.67,1.89,3.67,5,1,1,2.835,Neutral
904,127,2.78,4.11,2.33,4.56,3.67,3.67,3.67,3.22,3.50125,Negative
905,245,5,3.22,2.33,4.56,4.56,1.44,3.67,3.67,3.55625,Negative
906,773,4.56,2.78,4.11,4.56,1,5,2.33,4.11,3.55625,Negative
907,69,4.11,3.22,3.22,1,4.56,1,4.56,3.67,3.1675,Negative
908,141,4.11,3.22,3.22,2.78,2.33,4.56,2.78,1.44,3.055,Negative
909,139,4.11,1.89,2.33,5,3.22,1,1,2.78,2.66625,Neutral
910,398,3.22,4.56,3.22,5,3.67,2.33,2.78,4.56,3.6675,Negative
911,889,3.67,3.22,4.11,3.22,3.22,3.22,3.67,5,3.66625,Negative
912,995,3.22,3.67,4.11,1.89,3.67,3.67,4.11,3.67,3.50125,Negative
913,757,4.56,2.78,3.67,4.56,3.67,4.11,4.56,1,3.61375,Negative
914,783,2.78,1.44,4.11,1.44,4.11,2.78,3.67,1.89,2.7775,Neutral
915,420,2.78,4.11,4.11,3.22,1.44,2.33,5,1.89,3.11,Negative
916,790,3.67,2.78,3.22,1.44,1.89,1,3.22,3.22,2.555,Neutral
917,592,3.67,1.44,3.67,5,4.11,4.56,2.78,1,3.27875,Negative
918,978,3.22,2.78,4.11,4.56,3.22,3.22,1.44,4.56,3.38875,Negative
919,735,3.22,2.33,3.22,1,3.67,3.22,1,2.78,2.555,Neutral
920,731,2.78,5,3.22,4.56,2.78,5,2.78,1.44,3.445,Negative
921,932,3.22,3.22,2.33,2.78,2.78,1.89,3.22,1,2.555,Neutral
922,497,3.22,2.33,4.11,2.33,3.22,5,1,3.22,3.05375,Negative
923,813,4.11,5,2.78,4.11,2.33,3.67,2.78,1.44,3.2775,Negative
924,2,5,1.44,3.67,1.89,5,2.33,2.33,3.67,3.16625,Negative
925,649,4.56,1.44,3.22,5,2.33,4.56,2.33,1.44,3.11,Negative
926,455,4.11,2.78,2.33,1.44,3.67,2.33,1,1.44,2.3875,Neutral
927,593,2.78,1.89,2.78,1.89,4.56,5,4.56,4.56,3.5025,Negative
928,206,5,4.11,2.78,2.33,4.11,4.56,5,3.22,3.88875,Negative
929,847,3.67,5,2.78,3.67,1,4.56,5,2.33,3.50125,Negative
930,233,4.11,3.67,3.67,3.67,4.56,1.44,4.11,1.44,3.33375,Negative
931,87,2.78,5,4.11,2.33,4.11,5,1,4.56,3.61125,Negative
932,333,3.22,1.89,3.67,3.22,4.56,4.56,4.56,1,3.335,Negative
933,738,4.11,1.44,2.78,3.67,1.44,3.67,3.22,2.78,2.88875,Neutral
934,350,2.78,3.22,3.22,1,4.11,3.67,5,5,3.5,Negative
935,805,4.11,4.11,3.67,5,3.22,1.44,1.44,3.22,3.27625,Negative
936,700,4.56,4.11,3.22,1,4.56,3.22,4.56,1,3.27875,Negative
937,92,3.67,3.22,3.67,1.89,1.44,1,3.67,3.22,2.7225,Neutral
938,68,2.78,2.78,4.11,4.11,3.67,3.22,5,2.33,3.5,Negative
939,746,5,2.78,3.22,3.67,1,1,3.22,1,2.61125,Neutral
940,741,3.67,4.56,3.67,1.89,5,4.11,5,2.78,3.835,Negative
941,581,4.56,5,4.11,1.44,2.78,3.22,3.67,5,3.7225,Negative
942,677,4.56,3.22,3.22,4.56,1,5,3.67,1,3.27875,Negative
943,442,3.67,4.11,2.78,5,4.11,1.89,3.22,2.33,3.38875,Negative
944,749,4.56,4.56,2.78,1.44,4.56,1,5,1,3.1125,Negative
945,25,2.78,3.22,2.33,5,2.33,1,4.11,1.89,2.8325,Neutral
946,936,3.22,3.67,3.22,2.33,1,4.11,2.33,5,3.11,Negative
947,90,4.56,5,3.22,3.67,4.11,1,1.44,3.67,3.33375,Negative
948,715,3.22,4.56,3.22,2.78,4.56,1,3.22,3.22,3.2225,Negative
949,240,4.56,4.56,3.67,5,2.78,3.67,1,3.22,3.5575,Negative
950,13,3.22,3.22,3.22,1.89,5,3.67,1.44,1,2.8325,Neutral
951,126,3.67,2.33,3.22,2.33,1,2.78,1.44,1,2.22125,Neutral
952,761,2.78,4.56,3.22,5,5,1,5,3.22,3.7225,Negative
953,302,4.11,2.33,3.22,3.67,1,2.33,1,4.11,2.72125,Neutral
954,650,4.11,2.33,3.67,4.56,5,1.44,4.11,1.89,3.38875,Negative
955,365,5,2.78,2.78,1.89,2.78,1.44,1.89,2.78,2.6675,Neutral
956,905,2.78,4.56,3.22,4.11,5,1.44,1,1,2.88875,Neutral
957,415,4.56,1.89,2.78,1,4.11,4.56,4.56,1.44,3.1125,Negative
958,397,5,3.67,4.11,3.22,3.22,3.22,1.44,3.22,3.3875,Negative
959,435,4.56,4.56,3.67,2.33,1,1,3.67,2.78,2.94625,Neutral
960,945,4.56,1.89,4.11,1.44,2.33,4.56,1,1,2.61125,Neutral
961,930,4.11,3.67,2.78,1,1.89,3.67,1.44,1,2.445,Neutral
962,687,2.78,4.56,3.67,4.56,1.89,1,4.56,2.78,3.225,Negative
963,852,2.78,5,2.78,2.33,1.89,5,4.11,3.22,3.38875,Negative
964,712,3.22,2.78,2.78,3.67,4.11,1.44,4.56,3.67,3.27875,Negative
965,470,3.22,5,3.22,3.22,3.67,1,1,1.44,2.72125,Neutral
966,43,3.22,2.78,2.33,1,5,3.67,2.33,1,2.66625,Neutral
967,550,2.78,1.89,3.67,4.11,1.44,3.67,3.67,4.11,3.1675,Negative
968,844,4.11,3.22,2.33,1,1,4.11,5,4.56,3.16625,Negative
969,150,3.22,2.78,4.11,2.78,1.44,5,1,3.22,2.94375,Neutral
970,168,3.22,1.89,4.11,1.44,4.11,5,3.67,1.89,3.16625,Negative
971,519,4.11,3.67,3.67,3.22,5,5,2.33,1.89,3.61125,Negative
972,531,4.56,4.11,3.67,3.22,1.89,4.11,1.89,3.67,3.39,Negative
973,643,4.56,3.67,3.67,3.67,1.44,2.33,1.89,3.67,3.1125,Negative
974,428,3.22,4.56,2.33,2.33,4.11,3.22,1.44,2.78,2.99875,Neutral
975,659,4.56,2.33,4.11,5,3.22,3.22,1.89,4.11,3.555,Negative
976,766,5,1.44,2.33,1.89,2.33,3.22,4.56,2.33,2.8875,Neutral
977,732,4.56,1.44,3.22,4.56,2.33,1.44,5,5,3.44375,Negative
978,916,5,2.33,3.67,1.89,5,5,3.67,4.11,3.83375,Negative
979,979,4.56,2.33,3.67,5,2.78,1.44,2.33,1.44,2.94375,Neutral
980,372,2.78,3.67,3.67,4.56,1.89,2.78,5,2.33,3.335,Negative
