Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
769,451,4.56,1.89,3.22,5.0,3.67,4.11,4.56,5.0
770,477,2.78,1.44,2.78,3.22,5.0,3.22,5.0,4.11
771,9,3.67,2.78,2.33,2.78,1.0,1.89,2.78,3.22
772,325,3.67,2.78,3.67,3.22,1.0,2.78,4.11,3.22
773,812,4.56,2.78,2.33,2.33,1.44,2.33,1.44,3.22
774,727,3.67,1.44,3.22,2.33,1.44,5.0,4.56,2.78
775,928,3.22,3.67,3.22,4.56,2.33,4.11,2.78,4.11
776,134,4.56,4.56,3.67,2.33,3.67,5.0,4.11,1.89
777,819,3.22,3.67,4.11,4.11,4.56,5.0,1.44,1.44
778,230,3.67,1.44,4.11,1.44,3.22,1.0,4.56,1.44
779,520,4.56,1.89,2.78,3.22,3.67,5.0,5.0,1.89
780,326,3.67,5.0,4.11,4.11,3.22,2.33,4.56,3.67
781,142,3.22,4.11,2.33,5.0,4.11,2.78,4.11,3.22
782,491,2.78,2.33,4.11,3.22,1.0,1.89,2.33,2.33
783,379,3.67,2.78,3.22,1.44,4.56,3.67,1.89,5.0
784,465,2.78,1.44,4.11,4.11,3.22,4.11,1.44,2.33
785,756,3.22,3.67,3.67,1.89,1.44,3.22,4.56,3.67
786,347,3.22,4.11,3.67,1.89,2.78,1.0,1.44,4.11
787,237,5.0,2.33,2.78,4.11,3.67,4.11,1.44,4.11
788,642,2.78,3.67,3.22,4.11,4.56,3.22,3.22,3.67
789,506,4.56,3.67,2.33,1.0,2.78,3.67,2.78,1.0
790,646,3.67,4.11,2.78,2.33,3.67,4.11,4.11,4.11
791,382,5.0,5.0,3.67,2.78,1.44,1.89,3.22,1.89
792,256,3.22,3.67,2.33,2.78,4.56,4.11,3.22,2.78
793,327,4.11,4.11,2.78,5.0,1.44,1.0,5.0,2.78
794,624,3.67,1.89,3.67,5.0,1.44,1.0,4.11,4.11
795,155,4.11,4.11,4.11,5.0,1.89,4.56,3.67,1.89
796,578,4.11,5.0,3.67,2.33,2.78,4.11,3.67,3.22
797,640,5.0,4.56,2.33,5.0,1.44,2.33,1.89,1.0
798,997,4.56,4.11,4.11,3.22,4.11,1.89,1.89,5.0
799,242,3.67,4.56,2.78,2.33,2.78,4.56,1.0,2.33
800,344,3.67,3.22,4.11,4.56,4.11,1.89,4.11,2.78
801,699,4.56,2.78,2.33,4.11,2.33,1.44,1.44,4.11
802,77,4.56,2.33,2.78,4.56,1.44,1.0,2.78,5.0
803,821,4.11,4.56,2.78,2.78,4.11,4.56,2.33,4.56
804,903,4.56,4.11,4.11,4.11,2.33,4.11,2.33,1.0
805,540,4.56,5.0,3.67,1.89,1.44,2.33,2.33,2.78
806,596,2.78,4.11,3.67,3.67,1.0,1.44,5.0,1.89
807,169,4.11,1.44,3.22,1.89,1.89,3.22,4.56,1.89
808,526,4.56,2.78,2.78,2.78,1.44,3.22,2.33,4.56
809,361,3.67,1.44,3.22,2.33,2.78,3.67,4.11,1.89
810,917,4.11,3.22,2.78,1.89,3.67,2.78,2.33,4.11
811,342,2.78,4.56,4.11,1.0,4.56,4.11,3.67,5.0
812,599,2.78,1.44,2.33,4.11,2.33,4.11,4.56,2.78
813,875,2.78,2.33,3.67,1.89,2.78,3.22,2.33,2.78
814,745,2.78,4.56,2.78,5.0,4.11,1.44,4.56,1.0
815,131,4.56,2.33,4.11,1.44,3.67,2.78,1.44,5.0
816,143,3.22,3.22,3.67,4.11,5.0,1.89,1.89,4.56
817,666,5.0,2.78,3.22,4.11,1.0,1.44,3.67,3.67
818,104,4.11,2.78,2.33,1.44,3.67,4.56,2.33,2.33
819,964,4.11,2.78,2.78,1.89,5.0,2.78,2.78,1.89
820,208,4.11,3.67,2.78,3.67,1.44,1.89,1.44,4.11
821,774,3.67,5.0,2.78,2.33,3.22,5.0,4.56,3.22
822,346,5.0,3.67,2.33,4.56,1.89,1.44,5.0,4.11
823,97,3.67,4.11,3.67,4.56,3.22,1.89,5.0,3.67
824,306,4.56,5.0,2.33,1.0,1.89,1.89,1.44,2.78
825,18,4.56,3.22,3.22,1.0,2.78,4.11,2.33,5.0
826,284,2.78,3.67,3.22,1.89,5.0,1.89,4.11,3.22
827,173,2.78,3.67,2.78,5.0,5.0,5.0,1.89,5.0
828,558,3.67,4.56,2.78,2.78,4.56,3.67,1.89,2.78
829,51,3.67,1.44,3.22,1.44,4.11,1.44,5.0,1.44
830,357,2.78,4.11,3.67,2.78,2.33,1.0,4.11,4.11
831,692,4.11,4.11,3.22,4.56,2.78,4.11,3.67,5.0
832,26,4.11,1.44,3.22,5.0,4.56,4.56,2.33,2.78
833,386,4.56,2.78,2.78,2.33,3.22,2.78,3.67,3.67
834,287,2.78,4.56,2.78,2.78,5.0,4.11,2.33,5.0
835,974,4.11,5.0,2.33,1.44,2.33,4.56,4.11,3.67
836,683,3.22,4.56,2.33,4.11,2.78,2.78,1.0,5.0
837,374,3.22,4.56,2.33,3.22,1.44,3.22,3.67,4.11
838,278,5.0,4.11,3.67,4.11,3.22,3.67,4.11,1.0
839,367,5.0,2.33,4.11,1.89,1.89,4.56,2.78,3.67
840,800,3.67,2.33,2.78,1.44,1.0,3.22,1.89,4.56
841,11,4.56,2.78,3.22,4.11,2.78,3.22,3.67,3.67
842,310,2.78,4.11,2.78,4.56,2.33,2.33,4.56,5.0
843,910,2.78,4.11,3.67,5.0,4.11,1.44,2.33,4.11
844,440,2.78,3.67,4.11,4.56,3.67,1.0,4.11,5.0
845,441,3.67,4.11,2.78,1.89,1.0,4.11,3.22,4.11
846,146,4.11,3.67,2.78,3.22,4.56,1.44,4.56,5.0
847,614,4.11,1.44,3.22,3.67,4.11,3.22,3.22,2.78
848,262,5.0,2.78,2.33,4.56,3.22,4.56,4.56,1.89
849,34,4.56,3.67,4.11,4.56,4.11,1.44,4.11,4.56
850,407,4.56,4.11,4.11,3.22,1.44,4.56,3.22,2.33
851,564,2.78,5.0,2.78,3.22,4.11,2.78,1.89,1.0
852,538,4.11,3.67,2.33,3.22,5.0,2.78,1.44,4.56
853,748,2.78,4.11,3.22,1.0,5.0,1.44,2.33,4.56
854,675,4.11,3.67,4.11,4.56,4.11,3.22,1.44,4.11
855,224,5.0,3.67,3.67,3.22,1.44,1.0,3.67,4.56
856,10,4.11,1.89,3.67,2.33,1.89,3.22,2.33,1.0
857,708,2.78,1.89,2.78,2.33,2.78,4.56,3.22,2.33
858,636,3.67,1.89,3.22,4.56,2.78,2.33,3.22,1.89
859,218,3.67,4.11,2.33,2.33,1.0,2.33,3.22,2.33
860,193,2.78,4.56,2.33,3.22,2.78,3.67,1.0,4.56
861,106,3.22,3.22,2.78,4.11,1.89,1.0,4.56,3.67
862,834,4.11,1.44,3.67,2.33,1.0,4.11,4.56,1.44
863,597,2.78,2.33,4.11,2.33,4.11,3.67,1.89,2.33
864,45,4.11,2.78,3.22,1.0,2.78,4.56,1.44,4.56
865,264,2.78,1.44,2.33,2.33,3.67,3.22,2.33,1.0
866,219,5.0,2.33,2.78,3.67,4.56,5.0,4.11,1.89
867,249,5.0,1.44,2.78,3.22,4.11,1.0,4.11,4.56
868,507,4.56,1.44,3.22,1.44,3.67,4.56,3.67,4.56
869,383,5.0,5.0,4.11,5.0,2.33,4.56,1.89,5.0
870,631,5.0,4.11,2.78,1.89,4.56,4.56,4.11,1.89
871,502,3.22,1.89,2.78,1.0,4.11,2.33,3.67,4.11
872,792,5.0,1.44,3.22,3.67,3.67,2.78,3.22,4.56
873,271,4.11,5.0,3.22,2.78,3.67,5.0,5.0,1.44
874,194,3.22,1.89,2.78,2.33,1.0,5.0,4.11,1.89
875,937,4.11,4.11,2.33,5.0,1.0,2.78,4.56,1.89
876,726,3.22,2.33,2.33,3.67,3.67,1.89,3.22,2.33
877,339,3.22,5.0,2.78,4.56,2.33,1.89,3.22,2.78
878,841,4.11,4.56,4.11,1.89,2.33,2.33,3.67,1.0
879,874,4.56,3.67,3.22,4.56,3.22,1.0,3.22,1.89
880,214,3.22,3.22,2.33,1.89,1.0,1.89,2.33,3.22
881,924,4.56,5.0,2.78,2.78,3.22,2.33,1.0,4.11
882,203,4.11,3.67,4.11,4.56,2.33,5.0,4.11,5.0
883,629,4.11,1.89,3.67,2.33,2.33,4.11,1.0,5.0
884,354,3.22,1.89,3.67,5.0,1.0,1.0,5.0,3.22
885,857,4.56,4.11,3.22,2.78,3.67,4.11,1.0,4.56
886,424,2.78,1.89,3.67,1.89,4.11,3.22,2.78,3.67
887,872,3.22,5.0,4.11,4.11,1.44,1.44,1.0,2.33
888,116,4.11,2.78,3.22,1.89,2.78,1.89,1.0,4.56
889,308,4.56,5.0,3.67,5.0,1.89,1.44,5.0,4.56
890,698,2.78,4.56,3.22,1.89,3.22,4.56,4.56,4.56
891,622,4.56,5.0,3.67,3.67,3.22,1.44,4.11,2.33
892,103,4.56,3.22,2.33,3.22,1.0,1.89,5.0,3.22
893,464,2.78,2.33,4.11,3.22,2.33,5.0,1.0,3.22
894,870,5.0,2.33,3.22,1.89,4.11,1.44,1.89,3.67
895,351,4.11,2.78,4.11,5.0,1.0,4.56,3.67,3.67
896,628,5.0,5.0,2.33,3.67,1.0,3.67,1.89,4.56
897,33,4.11,2.78,3.22,1.0,4.11,3.67,3.67,1.44
898,972,3.67,4.56,2.33,1.0,1.0,1.44,1.0,5.0
899,535,2.78,5.0,2.78,4.56,4.56,4.11,1.0,4.56
900,959,4.11,2.33,2.78,2.78,5.0,3.67,1.89,1.44
901,794,5.0,2.33,2.33,4.11,3.22,4.11,3.22,4.56
902,313,2.78,3.67,3.67,1.89,3.67,5.0,1.0,1.0
903,127,2.78,4.11,2.33,4.56,3.67,3.67,3.67,3.22
904,245,5.0,3.22,2.33,4.56,4.56,1.44,3.67,3.67
905,773,4.56,2.78,4.11,4.56,1.0,5.0,2.33,4.11
906,69,4.11,3.22,3.22,1.0,4.56,1.0,4.56,3.67
907,141,4.11,3.22,3.22,2.78,2.33,4.56,2.78,1.44
908,139,4.11,1.89,2.33,5.0,3.22,1.0,1.0,2.78
909,398,3.22,4.56,3.22,5.0,3.67,2.33,2.78,4.56
910,889,3.67,3.22,4.11,3.22,3.22,3.22,3.67,5.0
911,995,3.22,3.67,4.11,1.89,3.67,3.67,4.11,3.67
912,757,4.56,2.78,3.67,4.56,3.67,4.11,4.56,1.0
913,783,2.78,1.44,4.11,1.44,4.11,2.78,3.67,1.89
914,420,2.78,4.11,4.11,3.22,1.44,2.33,5.0,1.89
915,790,3.67,2.78,3.22,1.44,1.89,1.0,3.22,3.22
916,592,3.67,1.44,3.67,5.0,4.11,4.56,2.78,1.0
917,978,3.22,2.78,4.11,4.56,3.22,3.22,1.44,4.56
918,735,3.22,2.33,3.22,1.0,3.67,3.22,1.0,2.78
919,731,2.78,5.0,3.22,4.56,2.78,5.0,2.78,1.44
920,932,3.22,3.22,2.33,2.78,2.78,1.89,3.22,1.0
921,497,3.22,2.33,4.11,2.33,3.22,5.0,1.0,3.22
922,813,4.11,5.0,2.78,4.11,2.33,3.67,2.78,1.44
923,2,5.0,1.44,3.67,1.89,5.0,2.33,2.33,3.67
924,649,4.56,1.44,3.22,5.0,2.33,4.56,2.33,1.44
925,455,4.11,2.78,2.33,1.44,3.67,2.33,1.0,1.44
926,593,2.78,1.89,2.78,1.89,4.56,5.0,4.56,4.56
927,206,5.0,4.11,2.78,2.33,4.11,4.56,5.0,3.22
928,847,3.67,5.0,2.78,3.67,1.0,4.56,5.0,2.33
929,233,4.11,3.67,3.67,3.67,4.56,1.44,4.11,1.44
930,87,2.78,5.0,4.11,2.33,4.11,5.0,1.0,4.56
931,333,3.22,1.89,3.67,3.22,4.56,4.56,4.56,1.0
932,738,4.11,1.44,2.78,3.67,1.44,3.67,3.22,2.78
933,350,2.78,3.22,3.22,1.0,4.11,3.67,5.0,5.0
934,805,4.11,4.11,3.67,5.0,3.22,1.44,1.44,3.22
935,700,4.56,4.11,3.22,1.0,4.56,3.22,4.56,1.0
936,92,3.67,3.22,3.67,1.89,1.44,1.0,3.67,3.22
937,68,2.78,2.78,4.11,4.11,3.67,3.22,5.0,2.33
938,746,5.0,2.78,3.22,3.67,1.0,1.0,3.22,1.0
939,741,3.67,4.56,3.67,1.89,5.0,4.11,5.0,2.78
940,581,4.56,5.0,4.11,1.44,2.78,3.22,3.67,5.0
941,677,4.56,3.22,3.22,4.56,1.0,5.0,3.67,1.0
942,442,3.67,4.11,2.78,5.0,4.11,1.89,3.22,2.33
943,749,4.56,4.56,2.78,1.44,4.56,1.0,5.0,1.0
944,25,2.78,3.22,2.33,5.0,2.33,1.0,4.11,1.89
945,936,3.22,3.67,3.22,2.33,1.0,4.11,2.33,5.0
946,90,4.56,5.0,3.22,3.67,4.11,1.0,1.44,3.67
947,715,3.22,4.56,3.22,2.78,4.56,1.0,3.22,3.22
948,240,4.56,4.56,3.67,5.0,2.78,3.67,1.0,3.22
949,13,3.22,3.22,3.22,1.89,5.0,3.67,1.44,1.0
950,126,3.67,2.33,3.22,2.33,1.0,2.78,1.44,1.0
951,761,2.78,4.56,3.22,5.0,5.0,1.0,5.0,3.22
952,302,4.11,2.33,3.22,3.67,1.0,2.33,1.0,4.11
953,650,4.11,2.33,3.67,4.56,5.0,1.44,4.11,1.89
954,365,5.0,2.78,2.78,1.89,2.78,1.44,1.89,2.78
955,905,2.78,4.56,3.22,4.11,5.0,1.44,1.0,1.0
956,415,4.56,1.89,2.78,1.0,4.11,4.56,4.56,1.44
957,397,5.0,3.67,4.11,3.22,3.22,3.22,1.44,3.22
958,435,4.56,4.56,3.67,2.33,1.0,1.0,3.67,2.78
959,945,4.56,1.89,4.11,1.44,2.33,4.56,1.0,1.0
960,930,4.11,3.67,2.78,1.0,1.89,3.67,1.44,1.0
961,687,2.78,4.56,3.67,4.56,1.89,1.0,4.56,2.78
962,852,2.78,5.0,2.78,2.33,1.89,5.0,4.11,3.22
963,712,3.22,2.78,2.78,3.67,4.11,1.44,4.56,3.67
964,470,3.22,5.0,3.22,3.22,3.67,1.0,1.0,1.44
965,43,3.22,2.78,2.33,1.0,5.0,3.67,2.33,1.0
966,550,2.78,1.89,3.67,4.11,1.44,3.67,3.67,4.11
967,844,4.11,3.22,2.33,1.0,1.0,4.11,5.0,4.56
968,150,3.22,2.78,4.11,2.78,1.44,5.0,1.0,3.22
969,168,3.22,1.89,4.11,1.44,4.11,5.0,3.67,1.89
970,519,4.11,3.67,3.67,3.22,5.0,5.0,2.33,1.89
971,531,4.56,4.11,3.67,3.22,1.89,4.11,1.89,3.67
972,643,4.56,3.67,3.67,3.67,1.44,2.33,1.89,3.67
973,428,3.22,4.56,2.33,2.33,4.11,3.22,1.44,2.78
974,659,4.56,2.33,4.11,5.0,3.22,3.22,1.89,4.11
975,766,5.0,1.44,2.33,1.89,2.33,3.22,4.56,2.33
976,732,4.56,1.44,3.22,4.56,2.33,1.44,5.0,5.0
977,916,5.0,2.33,3.67,1.89,5.0,5.0,3.67,4.11
978,979,4.56,2.33,3.67,5.0,2.78,1.44,2.33,1.44
979,372,2.78,3.67,3.67,4.56,1.89,2.78,5.0,2.33
980,778,4.56,2.33,4.11,4.56,4.11,2.78,3.67,2.33
981,579,5.0,1.89,3.67,4.11,4.56,1.0,4.11,4.11
982,320,4.56,3.22,3.67,2.33,1.89,4.56,5.0,1.44
983,645,2.78,4.56,3.22,3.22,4.11,2.78,5.0,4.11
984,5,3.22,3.67,2.33,1.44,1.89,4.11,5.0,3.67
985,294,3.67,2.78,2.33,1.0,3.22,1.44,4.56,3.22
986,117,4.11,1.44,2.78,5.0,2.78,2.33,1.89,1.44
987,555,4.56,1.44,4.11,3.67,1.44,1.0,1.89,5.0
988,29,3.22,4.56,2.78,1.0,3.22,5.0,2.33,2.78
989,259,4.11,1.89,4.11,4.56,3.67,2.33,5.0,3.67
990,47,4.11,2.33,2.33,4.56,5.0,5.0,1.44,3.22
991,678,4.11,5.0,2.78,1.44,3.67,2.33,1.0,3.67
992,543,4.11,1.44,2.33,4.56,1.89,1.89,1.89,2.33
993,908,2.78,1.44,2.78,1.89,1.44,5.0,2.33,4.11
994,586,4.11,1.44,2.33,4.56,4.11,4.11,3.67,3.67
995,98,4.56,4.56,3.67,1.44,1.89,1.89,4.11,2.33
996,55,4.11,3.67,3.22,1.44,2.78,3.67,3.67,4.56
997,913,2.78,2.78,3.22,2.78,3.22,3.67,3.22,1.0
998,199,4.56,2.78,4.11,1.89,4.11,1.0,1.0,1.44
999,539,5.0,1.44,3.67,2.33,1.89,2.33,5.0,1.0
1000,759,3.67,1.44,2.33,1.44,1.0,2.78,4.56,4.56
